PEDIDOS COM DIFERENÇA ENTRE VLR_PRODUTOS E SOMA DOS ITENS
Total: 1405

CODIGO	VLR_TOTAL	VLR_PRODUTOS	SOMA_ITENS	DIFERENCA
24637	17744.34	17744.34	14620.03	3124.31
23832	17045.82	17045.82	14001.50	3044.32
24905	16619.43	16619.43	13700.90	2918.53
23345	16312.01	16312.01	13428.63	2883.38
24341	16176.13	16176.13	13308.30	2867.83
25171	3311.68	3311.68	707.76	2603.92
24939	5359.93	5359.93	2928.00	2431.93
23409	11727.21	11727.21	9733.32	1993.89
24609	10636.00	10636.00	8773.32	1862.68
24383	10751.84	10751.84	8912.00	1839.84
23565	13682.22	13682.22	11883.18	1799.04
23453	10581.69	10581.69	8797.32	1784.37
24178	9827.36	9827.36	8048.00	1779.36
23951	9898.08	9898.08	8144.00	1754.08
23877	10128.87	10128.87	8384.00	1744.87
24895	9569.67	9569.67	7840.00	1729.67
23668	9745.12	9745.12	8016.00	1729.12
23533	10039.52	10039.52	8336.00	1703.52
24807	9905.19	9905.19	8250.66	1654.53
24561	10707.92	10707.92	9056.00	1651.92
24746	9180.99	9180.99	7573.32	1607.67
24396	8551.76	8551.76	7008.00	1543.76
23819	9556.73	9556.73	8013.32	1543.41
24509	8894.87	8894.87	7370.66	1524.21
24694	8402.71	8402.71	6896.00	1506.71
24161	8609.84	8609.84	7112.00	1497.84
23888	6844.12	6844.12	5415.50	1428.62
24951	7550.83	7550.83	6160.00	1390.83
24268	7871.28	7871.28	6504.00	1367.28
23568	8508.91	8508.91	7167.20	1341.71
24429	7332.94	7332.94	6048.00	1284.94
24438	9439.04	9439.04	8160.32	1278.72
24237	8199.54	8199.54	6942.88	1256.66
24499	6319.30	6319.30	5080.13	1239.17
24861	5898.62	5898.62	4662.78	1235.84
23966	6689.28	6689.28	5504.00	1185.28
23379	6777.12	6777.12	5616.00	1161.12
23273	8872.00	8872.00	7720.00	1152.00
23325	9088.00	9088.00	7936.00	1152.00
23862	6314.88	6314.88	5184.00	1130.88
24299	6238.40	6238.40	5120.00	1118.40
24676	7019.67	7019.67	5943.83	1075.84
23427	6747.05	6747.05	5713.00	1034.05
23651	5704.16	5704.16	4688.00	1016.16
24048	6524.98	6524.98	5524.94	1000.04
42521	1879.99	1827.50	852.50	975.00
23234	4556.64	4556.64	3591.59	965.05
24376	5795.20	5795.20	4899.20	896.00
23671	4000.00	4000.00	3120.00	880.00
24116	4120.00	4120.00	3240.00	880.00
24813	4120.00	4120.00	3240.00	880.00
24770	6524.51	6524.51	5654.67	869.84
24640	7292.81	7292.81	6441.34	851.47
23659	7217.82	7217.82	6369.71	848.11
24338	6229.20	6229.20	5381.57	847.63
24187	6889.36	6889.36	6055.94	833.42
